rxcui,ingredient,med_feature,source,primary_include
10763,Triamterene,htn_diuretic,antihypertensive_lookup,1
10772,Trichlormethiazide,htn_diuretic,antihypertensive_lookup,1
11371,Xipamide,htn_diuretic,antihypertensive_lookup,1
1369,Bendroflumethiazide,htn_diuretic,antihypertensive_lookup,1
1808,Bumetanide,htn_diuretic,antihypertensive_lookup,1
2396,Chlorothiazide,htn_diuretic,antihypertensive_lookup,1
2409,Chlorthalidone,htn_diuretic,antihypertensive_lookup,1
2562811,Finerenone,htn_diuretic,antihypertensive_lookup,1
2603,Clopamide,htn_diuretic,antihypertensive_lookup,1
298869,Eplerenone,htn_diuretic,antihypertensive_lookup,1
302285,Conivaptan,htn_diuretic,antihypertensive_lookup,1
38413,Torsemide,htn_diuretic,antihypertensive_lookup,1
4603,Furosemide,htn_diuretic,antihypertensive_lookup,1
5487,Hydrochlorothiazide,htn_diuretic,antihypertensive_lookup,1
5495,Hydroflumethiazide,htn_diuretic,antihypertensive_lookup,1
5764,Indapamide,htn_diuretic,antihypertensive_lookup,1
62349,Ethacrynate,htn_diuretic,antihypertensive_lookup,1
644,Amiloride,htn_diuretic,antihypertensive_lookup,1
6774,Mersalyl,htn_diuretic,antihypertensive_lookup,1
6860,Methyclothiazide,htn_diuretic,antihypertensive_lookup,1
6916,Metolazone,htn_diuretic,antihypertensive_lookup,1
8565,Polythiazide,htn_diuretic,antihypertensive_lookup,1
9997,Spironolactone,htn_diuretic,antihypertensive_lookup,1
301542,rosuvastatin,lipid_statin,lipid_lookup,1
36567,simvastatin,lipid_statin,lipid_lookup,1
41127,fluvastatin,lipid_statin,lipid_lookup,1
42463,pravastatin,lipid_statin,lipid_lookup,1
6472,lovastatin,lipid_statin,lipid_lookup,1
83367,atorvastatin,lipid_statin,lipid_lookup,1
861634,pitavastatin,lipid_statin,lipid_lookup,1
